id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,hit_rate,mrr,ndcgs,fail,pattern_used
B0017LFKOC,25 Best: Kenny Rogers,Cowboy | Country,15.08,4.5,AFNFZ2CJO7U4MOJMLLUJD7SUOBUQ,B001F0K0M2|B000B8GTEW|B0013L5M08|B00000255F|B00000DCHI|B000001DVP|B00005BJ9X|B0002S94MK|B000002NFI|B00005USBH|B000007SFM|B0000BWVO3|B000HA4AAE|B000H0MKGU|B00004R7VU|B000I0QKFG|B000002GHQ|B000007XUQ|B000PTYPFW|B0000024QR|B000BISBDO|B00005NWMI|B001041JKU|B000T0C0MC,I'm looking for a music collection that provides a nostalgic vibe for a backyard barbecue.,1,"The user shows a particular interest in holiday-themed music and duets, suggesting a preference for seasonal and collaborative musical works.",I'm looking for a music collection that provides a nostalgic vibe for a backyard barbecue. Please recommend me some different styles of music.,-1.0,,0.5,1.0,0.7874345491241825,0,template_12
B0000C3I5V,All Night Wrong,Rock | Progressive Rock | Progressive,14.85,4.4,AGWEAXC36WPVGR2QTQBCL33CPIGA,B0002X064A|B000003ZAZ|B00006IU73|B0000033P0,Can you recommend me a track with complex song structures and experimental sounds for a thought-provoking evening?,1,"The user has a unique preference for music that is characterized by complex compositions and innovative sounds, as indicated by their interest in progressive rock.",Can you recommend me a track with complex song structures and experimental sounds for a thought-provoking evening? Please recommend me some different styles of music.,-1.0,,0,0,0,1,template_12
B003TOS93O,Live At The Isle Of Wight Festival 1970,Hard Rock | Rock,19.98,4.6,AFXQQKJSPEBTBYXDGJULO2OCML6A,B08X7S43KV|B079NBWT35|B0091Q82L8|B018UYWMJY|B0000252Z1|B004VQFQ2Q|B004RQVVGU|B00RUT3DTE|B074TS9QPV|B00382X4WI|B00382X4XC|B004DL5K2K|B07CPMDPVJ,I'm interested in a track that can help me boost my energy during an intense workout.,1,The user has a unique preference for live album recordings and expanded or legacy editions of albums.,I'm interested in a track that can help me boost my energy during a workout. Please recommend me some different styles of music.,-1.0,,0.45,1.0,0.8253796006963768,0,template_12
B000002GJS,Waking Up The Neighbours,Classic Rock | Today's Deals in Music | Album-Oriented Rock (AOR) | CDs $7 - $10,11.4,4.7,AH6UIBC6VVFY77F3JP6ZXCZYESQA,B000025Y9I|B00775R43W|B000002OGY|B00770KFEM,Could you guide me to a music album that is best suited for a nostalgic road trip?,1,"The user has a unique preference for classic rock and album-oriented rock, with a notable interest in pop and country music as well.",Could you guide me to a music album that is best suited for a nostalgic road trip? Please recommend me some different styles of music.,-1.0,,0.6,1.0,0.8576904206593192,0,template_12
B000007OD2,Day of the Saxons,CDs $7 - $10 | Hard Rock | Hard Rock & Metal | Today's Deals in Music,59.99,4.9,AEC47T4F3KHPRWF5QGGOITEV2Z3A,B000009EAD|B000007T73|B0000061YV|B00000I6F6|B00000IN5K|B00000BKE1|B0000060ZI|B000000H66|B000002AOU,I'm interested in a music CD that can help me boost my energy during intense workouts.,1,"The user has a unique preference for subgenres like progressive metal and death metal, indicating a taste for complex and intense musical styles.",I'm interested in a music CD that can help me boost my energy during workouts. Please recommend me some different styles of music.,-1.0,,0,0,0,1,template_12
B01GUBRPB4,The Last Stand,Metal | Pop Metal,12.57,4.9,AE6EX3YFOG5MNAK2NILONGV6O3RQ,B0002FHCOA|B000ZOSMZG|B0000032PS|B000002W4P|B000093OU7|B000001F9E|B001BPNURI|B001ESEGPW|B000294T2O|B000008CXT|B000001FN8|B000001EUR|B000002LPD|B000001EUP|B00005NGSE|B000002IWH|B001E45STY|B000006MV0|B000065V8J|B00005LN6P|B000025A3V|B0002ZI9DI|B0000032PQ,"Could you guide me to a music CD that is best suited for an energetic workout, ideally with a classic rock vibe from the 70s and 80s?",1,"The user shows a particular interest in remastered albums and soundtracks, suggesting a preference for high-quality audio and possibly a nostalgic connection to certain films or eras.",Could you guide me to a music CD that is best suited for an energetic workout with a classic rock vibe from the 70s and 80s? Please recommend me some different styles of music.,-1.0,,0,0,0,1,template_12
B000ND91SG,A Hundred Miles or More: A Collection,Bluegrass | Country,14.97,4.6,AHH56VGDILFGWPW5L35NRGZEUWMQ,B000F9TCI2|B001E6R7I2|B000000D92|B000002IT2,Can you suggest a playlist for a lively family reunion with a touch of nostalgia?,1,"The user has a unique preference for 'Oldies' and 'Adult Alternative' music, indicating a taste for nostalgic and possibly eclectic music styles.",Can you suggest a playlist for a lively family reunion? Please recommend me some different styles of music.,-1.0,,0.4833333333333333,1.0,0.7671641396921497,0,template_12
B0000D9WWR,Most Relaxing Cello Album in World Ever / Various,Classical | Forms & Genres | Concertos,8.08,4.4,AFNLLFAUIS3CY4T5UJYOCHSP3BDA,B0000AM6L0|B002EYB6DK|B00000E9X4|B0000000JS|B0001WU1QK,I'm looking for a music collection that provides a soothing atmosphere for meditation and reflection.,1,"The user has a unique preference for vocal music that includes Motets and Opera & Classical Vocal, as well as a notable interest in Bluegrass and Country genres.",I'm looking for a music collection that provides a soothing atmosphere for meditation. Please recommend me some different styles of music.,-1.0,,0.275,1.0,0.6577324383928644,0,template_12
B000I6B9CY,Luna Roja,Contemporary Folk | Folk,12.49,4.0,AG72WMCIMM4RPQSMSCM6X3RLAIGQ,B000007O8M|B000003QD0|B000053U8Z|B00000DOQV|B000KJTGNI|B0087W2HP4,I'm looking for music that would be perfect for a cozy evening of storytelling with friends.,1,"The user shows a unique preference for music that blends traditional American sounds with modern alternative influences, as indicated by their interest in Americana and American Alternative genres.",I'm looking for music that would be perfect for a cozy evening of storytelling with friends. Please recommend me some different styles of music.,-1.0,,0.5,1.0,0.8656568964821746,0,template_12
B000001KT7,The Sensational Nightingales - Greatest Hits,Gospel | Contemporary | Christian & Gospel,11.99,4.7,AGM634W23QSLTAKNLSVU2MPG7WEQ,B000929AVE|B00O0MBHR4|B00005R8DV|B001HBIOZY,I'm interested in music that can help me feel a deep spiritual connection during a quiet evening at home.,1,"The user has a unique preference for music that blends classic R&B with holiday themes, particularly enjoying collections that feature iconic artists like Aretha Franklin and The Temptations.",I'm interested in music that can help me feel a deep spiritual connection during a quiet evening at home. Please recommend me some different styles of music.,-1.0,,0,0,0,1,template_12
B0000073CC,Cliff Richard: Private Collection 1979-1988,International Music | Europe | Britain & Ireland | Britain,8.63,4.7,AFJHYBRQXLQ3SBSA74KVJSKIWADA,B00PTJGN12|B07B16NSYG|B0018LMZO4|B000002KAI|B004GE81CK|B00000IMTH|B002XTBE92,Can you recommend me a music collection for a cultural exchange event that highlights British heritage and European influences?,1,"The user has a unique preference for Baroque Pop and Folk music, indicating a taste for intricate musical compositions and storytelling through music.",Can you recommend me a music collection for a cultural exchange event that highlights British heritage? Please recommend me some different styles of music.,-1.0,,0.725,1.0,0.9049952950271456,0,template_12
B000002ALT,The Kansas,Progressive Rock | Rock | Progressive,17.3,4.5,AEHLGVJAXWFMSPY34UOQJNGEB4QQ,B000007492|B000007491|B00HEVRO98|B0055AGMHK|B0008MGGG2|B00OQY7YWS|B001NE81EO|B00004Z3WP,Could you recommend a track that features intricate storytelling and would be perfect for a thought-provoking evening?,1,"The user has a unique preference for niche and possibly vintage music albums, as indicated by their interest in specific bands and albums like Supertramp and Anvil Chorus.",Could you recommend a track that features intricate storytelling? Please recommend me some different styles of music.,-1.0,,0.325,1.0,0.894791985871909,0,template_12
B002HMHRAK,All Time Greatest Hits,New Orleans Jazz | Jazz,7.98,4.7,AEQNJQO7OBYZT3JXXGDJTK53UNDA,B00CTCMCKS|B0000025JP|B0012GMXFG|B000026GTW|B000MRP1WI|B000EHQ8CI|B00004C4MM|B006LL02GE|B000008BTD,Can you help me choose a music collection that captures the lively atmosphere of a French Quarter street performance?,1,"The user has a unique preference for music that includes theatrical, incidental, and program music, as well as concerto grossi.",Can you help me choose a music collection that captures the lively atmosphere of a French Quarter street performance? Please recommend me some different styles of music.,-1.0,,0.45,1.0,0.9111861729199798,0,template_12
B000B5IPLK,Alicia Keys - Mtv Unplugged,CDs $7 - $10 | R&B General | R&B | Today's Deals in Music,11.25,4.4,AEPIBG2CEEKCF7RYPHOFAOQXYROA,B0002VKZKM|B000002MKM|B001KP2Y3K|B00B04KVMC,I'm searching for a music collection that evokes nostalgia and is perfect for a romantic evening.,1,"The user shows a unique preference for live or acoustic performances, as indicated by their interest in albums like 'Unplugged' and 'Bare Bones.'",I'm searching for a music collection that evokes nostalgia. Please recommend me some different styles of music.,-1.0,,0.7,1.0,0.8176078265354377,0,template_12
