id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,primary_target_id,hit_rate,mrr,ndcgs,fail,pattern_used,direct_hr10,direct_mrr,direct_ndcg
208,Babyshambles,"indie rock,indie,british,alternative,britpop",0.0,4.0,10,433|434|436|437|438,"I enjoy listening to artists like Radiohead, The Cure, Gogol Bordello, M. Ward, Interpol, Kings of Leon. I generally like alternative rock new wave 80s post music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Radiohead, The Cure, Gogol Bordello, M. Ward, Interpol","I enjoy listening to artists like Radiohead, The Cure, Gogol Bordello, M. Ward, Interpol, Kings of Leon. I generally like alternative rock new wave 80s post music. Can you recommend similar music artists I might enjoy?",1,208|416|430|440|199|418|196,208,0.9,1.0,1.0,0,template_11,0,0.0,0.0
2608,City and Colour,"acoustic,indie,singer-songwriter,folk,canadian",0.0,4.0,100,618|712|715|851|857,"I enjoy listening to artists like Coldplay, Radiohead, Robbie Williams, Michael Jackson, The Cure, Stereophonics. I generally like alternative rock pop britpop british 80s music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Coldplay, Radiohead, Robbie Williams, Michael Jackson, The Cure","I enjoy listening to artists like Coldplay, Radiohead, Robbie Williams, Michael Jackson, The Cure, Stereophonics. I generally like alternative rock pop britpop british 80s music. Can you recommend similar music artists I might enjoy?",1,2608|2609|2610|2611|2612|2614|2616,2608,1.0,1.0,1.0,0,template_11,0,0.0,0.0
3739,Hole,"grunge,rock,female vocalists,alternative rock,alternative",0.0,4.0,1001,681|683|691|701|704,"I enjoy listening to artists like Daft Punk, Madonna, OneRepublic, Nirvana, Britney Spears, Jordin Sparks. I generally like electronic dance electronica house pop female music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Daft Punk, Madonna, OneRepublic, Nirvana, Britney Spears","I enjoy listening to artists like Daft Punk, Madonna, OneRepublic, Nirvana, Britney Spears, Jordin Sparks. I generally like electronic dance electronica house pop female music. Can you recommend similar music artists I might enjoy?",1,3739|3781|3859|4559|10967|291|1459,3739,0.8,1.0,0.8062174677412687,0,template_11,0,0.0,0.0
3498,Paula DeAnda,"hip-hop,female vocalists,specials to 3mmey,rnb,ciara",0.0,4.0,1002,310|314|317|322|328,"I enjoy listening to artists like Kylie Minogue, Depeche Mode, Lady Gaga, Michael Jackson, Keyshia Cole, Tamia. I generally like pop dance electronic female new wave music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Kylie Minogue, Depeche Mode, Lady Gaga, Michael Jackson, Keyshia Cole","I enjoy listening to artists like Kylie Minogue, Depeche Mode, Lady Gaga, Michael Jackson, Keyshia Cole, Tamia. I generally like pop dance electronic female new wave music. Can you recommend similar music artists I might enjoy?",1,3498|4566|6429|175|323|906,3498,0.95,1.0,0.9986400209011808,0,template_11,0,0.0,0.0
55,Kylie Minogue,"pop,dance,electronic,female vocalists,80s",0.0,4.0,1003,1427|1485|2444|2607|51,"I enjoy listening to artists like Goldfrapp, Lady Gaga, Fleetwood Mac, Elton John, Kings of Leon, The Killers. I generally like electronic female vocalists trip pop dance music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Goldfrapp, Lady Gaga, Fleetwood Mac, Elton John, Kings of Leon","I enjoy listening to artists like Goldfrapp, Lady Gaga, Fleetwood Mac, Elton John, Kings of Leon, The Killers. I generally like electronic female vocalists trip pop dance music. Can you recommend similar music artists I might enjoy?",1,55|77|157|959|67|3313,55,0.5,1.0,0.6035814880484429,0,template_11,0,0.0,0.0
5048,The Streets,"british,hip-hop,indie,rap,uk",0.0,4.0,1005,1622|1627|1941|1943|1946,"I enjoy listening to artists like Arctic Monkeys, Common, Mos Def, Gang Starr, Black Eyed Peas, Kanye West. I generally like indie rock british hip hop rap music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Arctic Monkeys, Common, Mos Def, Gang Starr, Black Eyed Peas","I enjoy listening to artists like Arctic Monkeys, Common, Mos Def, Gang Starr, Black Eyed Peas, Kanye West. I generally like indie rock british hip hop rap music. Can you recommend similar music artists I might enjoy?",1,5048|6226|6581|7665|11754,5048,0.475,1.0,0.9940238785061217,0,template_11,0,0.0,0.0
1775,CÃÂ¡ssia Eller,"rock,brazilian,female vocalists,mpb,brasil",0.0,4.0,1006,436|439|618|701|709,"I enjoy listening to artists like Air, Kylie Minogue, Coldplay, Madonna, Radiohead, Stereophonics. I generally like electronic chillout ambient trip pop dance music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Air, Kylie Minogue, Coldplay, Madonna, Radiohead","I enjoy listening to artists like Air, Kylie Minogue, Coldplay, Madonna, Radiohead, Stereophonics. I generally like electronic chillout ambient trip pop dance music. Can you recommend similar music artists I might enjoy?",1,1775|6137|69|203|301|1764,1775,0.2,1.0,0.6232653496483926,0,template_11,0,0.0,0.0
7152,Thomas Newman,"soundtrack,instrumental,classical,ambient,chillout",0.0,4.0,1008,1717|1747|1947|2582|3357,"I enjoy listening to artists like Coldplay, Moby, Burial, The Cure, Beirut, Death Cab for Cutie. I generally like alternative rock electronic ambient chillout dubstep music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Coldplay, Moby, Burial, The Cure, Beirut","I enjoy listening to artists like Coldplay, Moby, Burial, The Cure, Beirut, Death Cab for Cutie. I generally like alternative rock electronic ambient chillout dubstep music. Can you recommend similar music artists I might enjoy?",1,7152|7665|3417|8459|441,7152,0.95,1.0,0.9949683750780682,0,template_11,0,0.0,0.0
1048,The Kooks,"indie,indie rock,british,britpop,rock",0.0,4.0,1009,2614|2840|3078|3427|3753,"I enjoy listening to artists like Placebo, Paradise Lost, Green Day, The All-American Rejects, blink-182, 3 Doors Down. I generally like alternative rock indie gothic metal doom music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Placebo, Paradise Lost, Green Day, The All-American Rejects, blink-182","I enjoy listening to artists like Placebo, Paradise Lost, Green Day, The All-American Rejects, blink-182, 3 Doors Down. I generally like alternative rock indie gothic metal doom music. Can you recommend similar music artists I might enjoy?",1,1048|1075|1090|1246|1381|3400,1048,0.45,1.0,0.8233832119371975,0,template_11,0,0.0,0.0
830,Atreyu,"metalcore,screamo,metal,hardcore,rock",0.0,4.0,101,1180|1672|1853|1910|8,"I enjoy listening to artists like Daft Punk, Red Hot Chili Peppers, Cobra Starship, Simple Plan, Demi Lovato, All Time Low. I generally like electronic dance electronica house rock alternative music. Can you recommend similar music artists I might enjoy?",1,"The user likes: Daft Punk, Red Hot Chili Peppers, Cobra Starship, Simple Plan, Demi Lovato","I enjoy listening to artists like Daft Punk, Red Hot Chili Peppers, Cobra Starship, Simple Plan, Demi Lovato, All Time Low. I generally like electronic dance electronica house rock alternative music. Can you recommend similar music artists I might enjoy?",1,830|1122|1188|2210|2617|2618|2621,830,0.8,1.0,0.976764933840116,0,template_11,0,0.0,0.0
