id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,hit_rate,mrr,ndcgs,fail,pattern_used
208,Babyshambles,indie indie rock rock'n'roll punk britpop rock alternative british jazz alternat,0.0,4.0,10,437|436|434|433|432,Can you recommend music similar to Babyshambles? I enjoy indie indie rock rock'n'roll punk britpop style music.,1,"The user likes: JÃÂ³nsi, Silverchair, She Wants Revenge, Radiohead, Art Brut",Can you recommend music similar to Babyshambles? I enjoy indie indie rock rock'n'roll punk britpop style music.,1,208,0.9,1.0,0.9598321530942524,0,template_11
2606,The Stone Roses,the beowulfs choice scholes song zadrotstvo touching song alternative 90s pop ro,0.0,4.0,100,298|331|712|1122|215,Can you recommend music similar to The Stone Roses? I enjoy the beowulfs choice scholes song zadrotstvo style music.,1,"The user likes: Public Image Ltd., Nouvelle Vague, Razorlight, Newton Faulkner, 2Pac",Can you recommend music similar to The Stone Roses? I enjoy the beowulfs choice scholes song zadrotstvo style music.,1,2606,0.15,1.0,0.3555371721314527,0,template_11
297,David Cook,american idol rock alternative rock alternative male vocalists 4m4zinq f4nt4stic,0.0,4.0,1001,3073|464|3859|681|2051,Can you recommend music similar to David Cook? I enjoy american idol rock alternative rock alternative style music.,1,"The user likes: Lily Allen, Daft Punk, Boys Like Girls, U2, Owl City",Can you recommend music similar to David Cook? I enjoy american idol rock alternative rock alternative style music.,1,297,0.3,1.0,0.5995311664203287,0,template_11
288,Rihanna,seen live hit pop dance rnb electronic female vocalists tecno female vocalist ra,0.0,4.0,1002,3314|279|1596|1001|310,Can you recommend music similar to Rihanna? I enjoy seen live hit pop dance rnb style music.,1,"The user likes: Keri Hilson, Kate Ryan, September, Avril Lavigne, Mariah Carey",Can you recommend music similar to Rihanna? I enjoy seen live hit pop dance rnb style music.,1,288,0.8,1.0,0.9204246927275325,0,template_11
77,George Michael,pop guilty pleasures 90s mellow love songs christmas chillout singer-songwriter ,0.0,4.0,1003,323|906|96|89|576,Can you recommend music similar to George Michael? I enjoy pop guilty pleasures 90s mellow love style music.,1,"The user likes: The Script, Kings of Leon, Cheryl Cole, The Human League, Goldfrapp",Can you recommend music similar to George Michael? I enjoy pop guilty pleasures 90s mellow love style music.,1,77,0.4,1.0,0.9575538012128437,0,template_11
1613,Jay-Z,hip-hop rap hip hop jazz american sexy usa top 40 madonna beyonce mellow justin ,0.0,4.0,1005,619|1950|1622|617|7665,Can you recommend music similar to Jay-Z? I enjoy hip-hop rap hip hop jazz american style music.,1,"The user likes: Black Eyed Peas, Hot Chip, Gang Starr, Yeasayer, DJ Shadow",Can you recommend music similar to Jay-Z? I enjoy hip-hop rap hip hop jazz american style music.,1,1613,0.45,1.0,0.5646406604965141,0,template_11
6137,AntÃÂ´nio Carlos Jobim,jazz brazilian mpb brasil bossa nova piano 70s latin male vocalist male vocalist,0.0,4.0,1006,55|227|618|735|261,Can you recommend music similar to AntÃÂ´nio Carlos Jobim? I enjoy jazz brazilian mpb brasil bossa nova style music.,1,"The user likes: Stereophonics, Cat Power, Rufus Wainwright, The White Stripes, BeyoncÃÂ©",Can you recommend music similar to AntÃÂ´nio Carlos Jobim? I enjoy jazz brazilian mpb brasil bossa nova style music.,1,6137,1.1,1.0,0.8717547463057783,0,template_11
6773,Say Anything,rock alternative emo acoustic bemis love the songs that make me sick with butter,0.0,4.0,1008,619|7152|6582|1717|3357,Can you recommend music similar to Say Anything? I enjoy rock alternative emo acoustic bemis love style music.,1,"The user likes: Weezer, Death Cab for Cutie, Franz Ferdinand, Nine Inch Nails, Swans",Can you recommend music similar to Say Anything? I enjoy rock alternative emo acoustic bemis love style music.,1,6773,0.55,1.0,0.6385901108102076,0,template_11
493,Lostprophets,rock alternative specials to 3mmey hard rock - metal alternative rock emo guilty,0.0,4.0,1009,472|2614|4177|1375|1091,Can you recommend music similar to Lostprophets? I enjoy rock alternative specials to 3mmey hard style music.,1,"The user likes: Bon Jovi, Paradise Lost, Dashboard Confessional, Green Day, Apoptygma Berzerk",Can you recommend music similar to Lostprophets? I enjoy rock alternative specials to 3mmey hard style music.,1,493,0.7,1.0,0.63978240351946,0,template_11
498,Paramore,alternative pop punk punk rock punk pop rock female vocalists seen live indie em,0.0,4.0,101,1672|1047|1853|707|1929,Can you recommend music similar to Paramore? I enjoy alternative pop punk punk rock punk style music.,1,"The user likes: Demi Lovato, Panic! At the Disco, Simple Plan, All Time Low, Cobra Starship",Can you recommend music similar to Paramore? I enjoy alternative pop punk punk rock punk style music.,1,498,0.45,1.0,0.5789768703553094,0,template_11
1810,Def Leppard,hard rock 80s hair metal 90s fucking amazing nwobhm rock uk classic rock british,0.0,4.0,1010,157|2941|187|1885|3768,Can you recommend music similar to Def Leppard? I enjoy hard rock 80s hair metal 90s style music.,1,"The user likes: New Order, Enigma, Camouflage, George Michael, INXS",Can you recommend music similar to Def Leppard? I enjoy hard rock 80s hair metal 90s style music.,1,1810,0.55,1.0,0.7796345499254306,0,template_11
537,The Used,rock emo screamo alternative punk 00s american 2002 emocore hardcore favorites a,0.0,4.0,1011,4385|471|1590|518|7,Can you recommend music similar to The Used? I enjoy rock emo screamo alternative punk 00s style music.,1,"The user likes: Funeral for a Friend, nevershoutnever!, Black Veil Brides, Eyes Set to Kill, The Hush Sound",Can you recommend music similar to The Used? I enjoy rock emo screamo alternative punk 00s style music.,1,537,0.3,1.0,0.5084390672801533,0,template_11
537,The Used,rock emo screamo alternative punk 00s american 2002 emocore hardcore favorites a,0.0,4.0,1012,412|2841|1974|425|907,Can you recommend music similar to The Used? I enjoy rock emo screamo alternative punk 00s style music.,1,"The user likes: Destiny's Child, Kanye West, David Gray, Dashboard Confessional, Paramore",Can you recommend music similar to The Used? I enjoy rock emo screamo alternative punk 00s style music.,1,537,0.25,1.0,0.4543123960270495,0,template_11
