id,title,category,new_query,user_id,remaining_interaction_string,classification,preferences,target_count,targets,similarity_score,price,ranking,query
B000FRSOQU,"Gerber 5-Pack Variety Bodysuits Brand One Piece Underwear - Girl 2009, 18 Months",Baby | Bodysuits | Baby Girls | Clothing,Could you recommend a bodysuit that fits for family gatherings?,AXKCFGN6411MY,B0064AO1Y6|B00A81LCB2|B009A7CVEC|B0009JXXZ6|B00A7R7DVU|B002HFGGDG|B007PESQKA|B001UE74CM|B00138YJYQ|B0013I01JS|B002U0HJKW|B000820YBU|B002LLOLB0|B0023RSUWI|B0012S5TZK,0,"The user shows a preference for themed clothing, particularly those featuring characters or designs like Angry Birds and dinosaurs.",1,bodysuit that fits for family gatherings,-8.551596,,239454,Could you recommend a bodysuit that fits for family gatherings and playdates?
B006HKYZLC,Gold and Silver Formal Tie Bar Set,"Tie Clips | Jewelry | Men | Novelty, Costumes & More | Novelty",Can you show me a men's tie clip that works for adding a touch of style?,A1IS5SPI99GQXG,B004AURKIQ|B000ZL779G|B001QCN3H8,-1,"The user has a preference for performance-oriented and possibly unique or niche clothing items, such as toe socks and themed neckties.",1,men's tie clip,-3.542171,25,16568,Can you show me a men's tie clip that works for adding a touch of style to my activewear outfits?
B001188FZC,Lee Women's Relaxed Fit Straight Leg Jean,Petite | Women,I am looking for women's petite jeans that are comfortable and practical.,A2FWSBTIWSMJGJ,B008OOKJTG|B0024NCAZ4|B000UMDUHI|B005QNUHA4,-1,"The user has a unique interest in themed or character-based items, as indicated by the purchase of Yo Gabba Gabba clogs.",1,women's petite jeans that are comfortable and practical,-10.196765,,616,I am looking for women's petite jeans that are comfortable and practical.
B004BKIPHK,Vitalsox Graduated Compression Performance Patented Recovery Socks with Dry Stat,Big & Tall | Clothing | Running | Socks | Men | Exercise & Fitness | Sports & Outdoors,I want a men's big & tall running sock that is suitable for exercise and fitness.,A17K3J8H8TTUIV,B002H5G1RC|B001E5CR2Y|B000R4LFV2|B000R7C2WA|B005OEEH6U|B007IM6YA8|B004YHRAJO|B007M5U8OE,-1,"The user shows a unique preference for embroidered patches and tattoo art, indicating an interest in personalized or artistic expressions. There is also a notable interest in novelty and themed clothing items.",1,men's big & tall running sock,-3.8812182,,44,I want a men's big & tall running sock that is suitable for exercise and fitness in sports and outdoors.
B00E1CU2FG,"Request Girls 7-16 Straight Leg Jean with Flap Back Pocket, Zuma, 10",Jeans | Girls | Clothing,"I’m searching for girls' jeans that are casual, versatile, and youthful.",AQ14VJKC7NOLY,B009AFGXDY|B00HEOV89M|B00E1CTM2A|B00FQ17ZTM|B00HEGRWEK|B00CTS0QDW,-1,"The user shows a preference for bootcut and skinny jeans, as well as tops with unique necklines like slouch and round necks. The user also seems to favor clothing with specific design details, such as detailed flap back pockets.",1,"girls' jeans that are casual, versatile, and youthful",-10.173527,,259230,"I’m searching for girls' jeans that are casual, versatile, and suitable for a youthful style."
B00AO4HUDC,"U.S. Polo Assn. Men's Solid Pique Shirt, Engine Red, Medium",Polos | Shirts | Clothing | Men,I’m in need of a men's polo shirt that is suitable for family gatherings.,A2BJ3EU0MRTYRT,B0050SC4HE|B002WTC6DG|B000ML7OYW,0,"The user shows a preference for practical and comfortable clothing items, such as jeans and socks, and may have a need for durable footwear for children, as suggested by the purchase of rain boots for kids.",1,men's polo shirt suitable for family gatherings,-3.6790895,,52442,I’m in need of a men's polo shirt that is suitable for family gatherings and layering under blazers.
B004YA5X68,"Fahrenheit Women's Dora-01 Ankle-Strap Sandal,Light Blue Denim,6 M US",F | Fahrenheit | Shoes | Women | Sandals,Can you recommend me a women's sandals for a larger size that are stylish?,A2H2UAC83N65BK,B008XCMEM4|B007FA5ACG|B003VCRRSC|B000W2F1EQ|B000Q5WAOI|B001BYH6KG|B002WJUTXA,-1,"The user shows a strong interest in costumes, particularly those with a novelty or themed aspect, such as pirate or fantasy styles.",1,women's sandals for a larger size that are stylish,-10.194321,,222251,Can you recommend me a women's sandals for a larger size that are stylish and suitable for themed events?
B00KA7GIAY,Orino Beauty&trade;Women's Floral Bikini Swimwear Cover Up Beach Dress(blue),Women | Cover-Ups | Swimsuits & Cover Ups | Clothing,Please suggest a cover-up for sun protection during tropical vacations.,A29UM3FDZ4FY9P,B00KKBT1W2|B007VU1H2W|B003G5L0DM,0,The user shows a preference for items with unique design elements such as criss-cross patterns and shiny metallic finishes.,1,cover-up for sun protection during tropical vacations,-7.1994634,11.99,104998,Please suggest a cover-up for sun protection during tropical vacations.
B00767DITU,Tween Sally Costume,"Novelty, Costumes & More | Costumes & Accessories | Costumes",I'm after a costume that works best for a themed birthday celebration.,A1FHV5LCS3FMM6,B000XDDERK|B0013KBX5W|B006CZ2KK0,0,"The user shows a preference for travel accessories and packing organizers, indicating a focus on efficient packing and organization during travel.",1,costume for a themed birthday celebration,-6.5769877,,60296,I'm after a costume that works best for a themed birthday celebration while traveling.
B008HZYK2E,"Kensie Women's Flecked Color Block Tee, Heather Dark Berry Combo, X-Small",Tops & Tees | Women | Knits & Tees | Clothing,Can you point me to a knit tee that’s best for casual outings?,A2HFYRCWH4H3HQ,B007KHF4GQ|B0052OPAM2|B0052OP9PA,0,The user shows a strong preference for the Franco Sarto brand.,1,knit tee,-10.19595,,551388,Can you point me to a knit tee that’s best for casual outings while pairing well with boots?
