method,run_dir,dataset,split,seed,expected_n_sessions,completed_n_sessions,errors,has_run_summary,has_full_log,has_metrics,has_latency,has_api_usage,completeness_status,caveat
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/amazon_book/seed_0,amazon_book,interrec_aligned_test_head_QUERY_NUMBER,0,500,500,"fail_rate=0.082; historical JSONDecodeError in results/three_domains_20260520_154627.log",no,no,yes,no,no,complete_metrics_artifacts_known_failures,Duplicate id resume may alter row cardinality vs strict 500 unique sessions not verified here
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/amazon_book/seed_1,amazon_book,interrec_aligned_test_head_QUERY_NUMBER,1,500,499,"fail_rate=0.0922",no,no,yes,no,no,complete_metrics_artifacts_known_failures,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/amazon_book/seed_2,amazon_book,interrec_aligned_test_head_QUERY_NUMBER,2,500,494,"fail_rate=0.0951",no,no,yes,no,no,complete_metrics_artifacts_known_failures,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/lastfm/seed_0,lastfm,interrec_aligned_test_head_QUERY_NUMBER,0,500,427,"fail_rate=0.0796",no,no,yes,no,no,metrics_complete_session_count_below_config_cap,n_queries<QUERY_NUMBER documented duplicate-id/resume artifact
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/lastfm/seed_1,lastfm,interrec_aligned_test_head_QUERY_NUMBER,1,500,427,"fail_rate=0.0749",no,no,yes,no,no,metrics_complete_session_count_below_config_cap,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/lastfm/seed_2,lastfm,interrec_aligned_test_head_QUERY_NUMBER,2,500,427,"fail_rate=0.0773",no,no,yes,no,no,metrics_complete_session_count_below_config_cap,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/movielens/seed_0,movielens,interrec_aligned_test_head_QUERY_NUMBER,0,500,397,"fail_rate=0.2972",no,no,yes,no,no,metrics_complete_session_count_below_config_cap,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/movielens/seed_1,movielens,interrec_aligned_test_head_QUERY_NUMBER,1,500,397,"fail_rate=0.2645",no,no,yes,no,no,metrics_complete_session_count_below_config_cap,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/movielens/seed_2,movielens,interrec_aligned_test_head_QUERY_NUMBER,2,500,397,"fail_rate=0.2771",no,no,yes,no,no,metrics_complete_session_count_below_config_cap,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/yelp/seed_0,yelp,interrec_aligned_test_head_QUERY_NUMBER,0,500,492,"fail_rate=0.5569",no,no,yes,no,no,metrics_complete_high_failure_rate,Poor SR under LLM evaluator; fairness vs other domains requires same evaluation protocol disclosure
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/yelp/seed_1,yelp,interrec_aligned_test_head_QUERY_NUMBER,1,500,492,"fail_rate=0.563",no,no,yes,no,no,metrics_complete_high_failure_rate,
TAIRA,/home/yrh666/interrecbaseline-TAIRA/results/checkpoints/yelp/seed_2,yelp,interrec_aligned_test_head_QUERY_NUMBER,2,500,492,"fail_rate=0.5793",no,no,yes,no,no,metrics_complete_high_failure_rate,
